"","X","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","TruePositive","TrueNegative","impression","Scores"
"198",198,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"199",199,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"201",201,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"202",202,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"203",203,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"205",205,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"208",208,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"209",209,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"214",214,0,1,0,0,1,0,1,2,0,1,6,0,"Positive","1"
"215",215,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"216",216,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"218",218,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"220",220,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"222",222,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"224",224,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"226",226,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"230",230,0,0,0,0,0,0,0,0,0,2,2,0,"Positive","1"
"231",231,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"232",232,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"233",233,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"234",234,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"235",235,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"236",236,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"237",237,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"238",238,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"239",239,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"240",240,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"242",242,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"243",243,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"244",244,0,0,0,0,0,1,0,0,0,0,0,1,"Negative","0"
"245",245,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"246",246,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"248",248,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"251",251,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"252",252,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"253",253,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"254",254,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"255",255,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"256",256,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"257",257,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"259",259,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"261",261,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"262",262,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"263",263,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"264",264,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"265",265,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"266",266,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"267",267,2,0,0,1,0,0,0,0,2,0,0,5,"Negative","0"
"268",268,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"269",269,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"270",270,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"274",274,1,0,1,1,1,1,0,1,0,1,3,4,"Negative","0"
"276",276,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"279",279,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"281",281,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"284",284,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"287",287,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"289",289,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"291",291,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"292",292,1,1,0,0,0,0,0,0,1,0,1,2,"Negative","0"
"293",293,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"294",294,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"295",295,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"298",298,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"300",300,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"301",301,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"303",303,0,0,0,0,0,0,0,1,1,1,2,1,"Positive","1"
"304",304,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"305",305,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"306",306,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"307",307,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"309",309,1,1,0,0,0,0,0,0,1,0,1,2,"Negative","0"
"310",310,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"312",312,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"314",314,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"319",319,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"320",320,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"321",321,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"322",322,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"329",329,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"331",331,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"332",332,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"333",333,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"334",334,1,1,0,0,0,0,0,0,1,0,1,2,"Negative","0"
"335",335,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"337",337,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"338",338,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"341",341,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"342",342,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"343",343,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"344",344,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"347",347,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"348",348,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"350",350,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"352",352,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"354",354,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"356",356,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"357",357,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"361",361,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"363",363,0,3,0,0,2,0,2,2,0,2,11,0,"Positive","1"
"364",364,1,0,1,0,0,0,0,0,2,0,0,4,"Negative","0"
"365",365,1,1,0,0,1,0,1,2,0,3,8,1,"Positive","1"
"366",366,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"368",368,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"369",369,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"370",370,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"371",371,0,1,0,0,2,0,1,2,0,3,9,0,"Positive","1"
"372",372,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"373",373,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"374",374,0,1,0,0,2,0,1,2,0,2,8,0,"Positive","1"
"375",375,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"377",377,2,0,1,1,0,1,0,0,2,0,0,7,"Negative","0"
"378",378,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"380",380,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"381",381,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"383",383,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"384",384,0,2,0,0,1,0,0,1,0,1,5,0,"Positive","1"
"385",385,0,1,0,0,0,0,0,0,0,1,2,0,"Positive","1"
"386",386,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"387",387,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"392",392,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"395",395,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"397",397,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"399",399,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"400",400,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"402",402,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"405",405,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"406",406,1,0,0,1,0,1,0,0,1,0,0,4,"Negative","0"
"410",410,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"414",414,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"415",415,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"418",418,1,0,1,1,0,1,0,1,1,1,2,5,"Negative","0"
"421",421,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"422",422,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"423",423,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"425",425,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"426",426,1,1,0,0,1,0,1,1,0,2,6,1,"Positive","1"
"427",427,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"428",428,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"429",429,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"431",431,0,1,0,0,1,0,1,1,0,2,6,0,"Positive","1"
"432",432,0,0,0,0,0,1,0,0,0,0,0,1,"Negative","0"
"435",435,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"438",438,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"439",439,0,1,0,0,1,0,1,2,0,1,6,0,"Positive","1"
"440",440,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"441",441,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"442",442,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"444",444,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"445",445,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"446",446,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"447",447,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"448",448,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"449",449,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"451",451,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"452",452,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"453",453,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"454",454,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"455",455,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"457",457,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"458",458,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"460",460,0,1,0,0,1,0,1,2,0,1,6,0,"Positive","1"
"461",461,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"464",464,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"467",467,0,0,1,0,0,0,0,0,1,0,0,2,"Negative","0"
"468",468,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"469",469,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"470",470,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"471",471,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"472",472,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"473",473,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"474",474,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"479",479,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"481",481,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"482",482,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"483",483,1,1,0,0,2,0,1,1,1,2,7,2,"Positive","1"
"484",484,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"486",486,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"487",487,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"491",491,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"492",492,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"493",493,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"495",495,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"497",497,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"498",498,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"501",501,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"502",502,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"505",505,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"508",508,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"510",510,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"512",512,0,1,0,0,2,0,0,1,0,2,6,0,"Positive","1"
"514",514,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"515",515,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"516",516,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"518",518,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"519",519,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"521",521,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"522",522,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"523",523,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"524",524,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"525",525,0,1,0,0,0,0,0,0,0,1,2,0,"Positive","1"
"528",528,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"529",529,1,2,0,0,1,0,1,1,1,1,6,2,"Positive","1"
"530",530,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"531",531,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"532",532,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"533",533,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"534",534,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"535",535,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"536",536,0,0,0,1,0,1,0,0,1,0,0,3,"Negative","0"
"537",537,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"538",538,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"539",539,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"540",540,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"541",541,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"542",542,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"543",543,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"545",545,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"546",546,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"548",548,0,1,0,0,0,0,1,1,0,1,4,0,"Positive","1"
"550",550,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"553",553,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"555",555,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"557",557,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"558",558,1,1,0,0,1,0,1,1,0,1,5,1,"Positive","1"
"559",559,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"563",563,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"564",564,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"565",565,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"566",566,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"567",567,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"569",569,0,1,0,0,1,0,1,1,1,1,5,1,"Positive","1"
"570",570,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"571",571,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"572",572,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"574",574,0,2,0,0,1,0,1,1,0,1,6,0,"Positive","1"
"576",576,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"578",578,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"581",581,1,0,0,0,0,0,0,0,1,0,0,2,"Negative","0"
"582",582,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"583",583,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"585",585,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"586",586,0,0,0,0,0,0,0,1,0,1,2,0,"Positive","1"
"587",587,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"592",592,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"593",593,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"597",597,0,0,0,0,0,0,0,1,0,0,1,0,"Positive","1"
"598",598,1,2,0,0,2,0,2,2,0,3,11,1,"Positive","1"
"599",599,1,1,0,0,1,0,1,1,1,1,5,2,"Positive","1"
"601",601,0,0,0,0,0,0,0,0,0,1,1,0,"Positive","1"
"602",602,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"603",603,0,1,0,0,0,0,0,0,0,0,1,0,"Positive","1"
"605",605,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"607",607,0,0,0,0,1,0,0,0,0,1,2,0,"Positive","1"
"608",608,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"609",609,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"610",610,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"611",611,0,0,0,0,1,0,0,1,0,1,3,0,"Positive","1"
"612",612,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"617",617,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"618",618,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"619",619,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"621",621,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"625",625,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"627",627,1,0,1,1,0,1,0,0,1,0,0,5,"Negative","0"
"628",628,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"630",630,0,1,0,0,1,0,0,1,0,1,4,0,"Positive","1"
"631",631,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
"636",636,0,1,1,1,1,1,1,1,1,1,5,4,"Positive","1"
"639",639,1,1,0,0,1,0,1,1,0,2,6,1,"Positive","1"
"640",640,0,1,0,0,1,0,1,1,0,1,5,0,"Positive","1"
